Age,Gender,Education Level,Job Title,Years of Experience,Salary
28,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,2,48000
27,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
26,Female,Bachelor's Degree, Engineer,1,45000
42,Female,Bachelor's Degree, Engineer,13,197000
30,Female,Bachelor's Degree, Engineer,8,180000
30,Female,Bachelor's Degree, Engineer,8,180000
30,Female,Bachelor's Degree, Engineer,8,180000
30,Female,Bachelor's Degree, Engineer,8,180000
30,Female,Bachelor's Degree, Engineer,8,180000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
28,Female,Bachelor's Degree, Engineer,5,160000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
31,Female,Bachelor's Degree, Engineer,6,155000
29,Female,Bachelor's Degree, Engineer,4,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
28,Female,Bachelor's Degree, Engineer,5,150000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
29,Female,Bachelor's Degree, Engineer,4,140000
27,Female,Bachelor's Degree, Engineer,4,140000
27,Female,Bachelor's Degree, Engineer,4,140000
27,Female,Bachelor's Degree, Engineer,4,140000
35,Female,Master's Degree, Engineer,9,140000
28,Female,Bachelor's Degree, Engineer,3,125000
33,Female,Master's Degree, Engineer,8,120000
32,Female,Master's Degree, Engineer,9,120000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,5,90000
30,Female,Bachelor's Degree, Engineer,4,80000
26,Female,Master's Degree, Engineer,2,75000
31,Female,Bachelor's Degree, Engineer,5,74000
27,Female,Bachelor's Degree, Engineer,3,70000
27,Female,Bachelor's Degree, Engineer,3,70000
27,Female,Bachelor's Degree, Engineer,3,70000
27,Female,Bachelor's Degree, Engineer,3,70000
27,Female,Bachelor's Degree, Engineer,3,70000
