Age,Gender,Education Level,Job Title,Years of Experience,Salary
49,Male,PhD,Engineer,17,195000
43,Male,Master's Degree,Engineer,20,167207
45,Male,PhD,Engineer,14,185000
27,Male,Bachelor's Degree,Developer,4,82683
34,Male,Master's Degree,Engineer,12,160976
54,Male,Bachelor's Degree,Engineer,25,179987
24,Male,Bachelor's Degree,Analyst,1,90000
26,Female,Bachelor's Degree,Engineer,1,45000
36,Male,Master's Degree,Engineer,7,140000
49,Male,PhD,Engineer,15,185000
55,Male,PhD,Engineer,18,210000
49,Male,Master's Degree,Developer,24,174726
27,Male,Bachelor's Degree,Engineer,4,140000
37,Male,Master's Degree,Engineer,9,145000
44,Female,PhD,Scientist,18,183000
34,Male,Master's Degree,Analyst,8,100000
57,Female,PhD,Engineer,33,191790
27,Female,Bachelor's Degree,Developer,2,36000
46,Male,PhD,Scientist,18,180000
32,Male,Bachelor's Degree,Product,7,120000
54,Male,PhD,Engineer,16,190000
42,Male,Master's Degree,Product,14,180000
25,Female,Bachelor's Degree,Developer,1,35000
31,Male,Bachelor's Degree,Developer,6,85000
37,Male,Master's Degree,Engineer,10,150000
26,Female,Master's Degree,Developer,3,73218
43,Male,Master's Degree,Engineer,21,187081
27,Male,Bachelor's Degree,Analyst,2,50000
43,Male,PhD,Scientist,16,160000
26,Male,Bachelor's Degree,Analyst,3,130000
31,Male,Bachelor's Degree,Developer,6,85000
34,Male,Master's Degree,Scientist,9,140000
29,Male,Bachelor's Degree,Engineer,6,170000
34,Male,Master's Degree,Developer,8,140000
25,Female,Bachelor's Degree,Analyst,2,100000
29,Female,High School,Sales,2,40000
32,Male,Master's Degree,Developer,6,130000
27,Female,Bachelor's Degree,Engineer,3,70000
28,Male,Bachelor's Degree,Developer,3,60000
29,Female,High School,Sales,1,30000
62,Male,PhD,Engineer,20,200000
26,Male,Bachelor's Degree, Analyst,2,50000
27,Female,Bachelor's Degree,Engineer,4,140000
42,Female,Master's Degree,HR,12,120000
27,Male,High School,Developer,4,80247
31,Male,Bachelor's Degree,Analyst,9,195000
36,Female,PhD,Scientist,12,160000
36,Male,Bachelor's Degree,Engineer,13,135378
56,Male,PhD,Engineer,17,195000
23,Female,Bachelor's Degree,Engineer,1,50000
36,Male,PhD,Scientist,12,170000
38,Male,Master's Degree,HR,8,95000
27,Female,Bachelor's Degree,Product,4,150000
49,Male,PhD,Engineer,15,185000
35,Male,Bachelor's Degree,Developer,10,128999
37,Other,Master's Degree,Engineer,14,161393
33,Female,Master's Degree,Product,11,198000
45,Male,PhD,HR,14,140000
31,Other,High School,Developer,8,104127
45,Male,PhD,Engineer,16,185000
44,Female,PhD,Engineer,18,157872
27,Female,Master's Degree,HR,3,50000
28,Male,Bachelor's Degree,Developer,2,65000
48,Male,PhD,Engineer,16,190000
26,Female,Master's Degree,Product,2,120000
43,Male,Master's Degree,Engineer,21,187951
42,Male,Master's Degree,Engineer,13,170000
21,Female,High School,Sales,0,25000
49,Male,PhD,Engineer,15,185000
26,Female,Bachelor's Degree,HR,1,32000
24,Female,High School,HR,1,32000
26,Male,Bachelor's Degree, Analyst,2,50000
41,Male,PhD,Scientist,12,130000
30,Female,Bachelor's Degree,Analyst,5,145000
37,Male,Master's Degree,Engineer,9,150000
27,Male,Bachelor's Degree,Developer,4,68732
29,Female,Master's Degree,Engineer,4,104702
27,Male,Bachelor's Degree,Developer,2,70000
36,Female,PhD,Scientist,13,185000
43,Female,PhD,HR,15,150000
33,Female,Bachelor's Degree,HR,8,95000
46,Male,PhD,Scientist,18,180000
47,Male,PhD,Scientist,19,190000
30,Female,Bachelor's Degree,Analyst,5,145000
50,Female,Master's Degree,Engineer,24,192756
55,Male,PhD,Engineer,17,190000
27,Male,High School,Developer,4,80247
28,Female,Bachelor's Degree,Engineer,4,70022
25,Female,Master's Degree,HR,1,32000
50,Female,Bachelor's Degree,Engineer,25,177862
36,Male,Bachelor's Degree,Sales,11,160000
25,Female,Bachelor's Degree,Analyst,2,100000
27,Female,Master's Degree,Engineer,3,100000
35,Female,Bachelor's Degree,Product,8,170000
30,Male,Bachelor's Degree,Developer,5,100000
29,Female,Master's Degree,Scientist,6,180000
39,Female,Bachelor's Degree,Financial,16,200000
32,Male,Master's Degree,Developer,6,80000
28,Female,Bachelor's Degree,Developer,2,65000
45,Male,Master's Degree,Engineer,22,182506
30,Male,Bachelor's Degree,Developer,5,100000
32,Female,Master's Degree,HR,7,80000
37,Male,Bachelor's Degree,Sales,7,90000
36,Male,Bachelor's Degree,Engineer,14,119224
